Reading ID, Day, YYYY/MM/DD, hh:mm:ss, Ultrasonik, Infrared, Magnetik, Cahaya ,Label,Pengamatan ke-
108,Tuesday,02/03/2021,13:57:15,23,1002,2975,1074,1,1
109,Tuesday,02/03/2021,13:57:20,23,995,2971,1078,1,1
110,Tuesday,02/03/2021,13:57:25,23,1004,2979,1070,1,1
111,Tuesday,02/03/2021,13:57:30,23,1028,2967,1072,1,1
112,Tuesday,02/03/2021,13:57:35,23,1000,2975,1104,1,1
113,Tuesday,02/03/2021,13:57:41,23,1003,2969,1072,1,1
114,Tuesday,02/03/2021,13:57:46,23,1004,2973,1074,1,1
115,Tuesday,02/03/2021,13:57:51,23,999,2967,1070,1,1
116,Tuesday,02/03/2021,13:57:56,23,998,2971,1063,1,1
117,Tuesday,02/03/2021,13:58:01,23,993,2961,1094,1,1
118,Tuesday,02/03/2021,13:58:06,23,988,2961,960,1,1
119,Tuesday,02/03/2021,13:58:11,23,1000,2983,1034,1,1
120,Tuesday,02/03/2021,13:58:16,23,1000,2954,955,1,1
121,Tuesday,02/03/2021,13:58:21,23,1008,2975,965,1,1
122,Tuesday,02/03/2021,13:58:26,23,992,2959,972,1,1
123,Tuesday,02/03/2021,13:58:31,23,992,2965,978,1,1
124,Tuesday,02/03/2021,13:58:36,23,997,2963,978,1,1
125,Tuesday,02/03/2021,13:58:41,23,997,2967,976,1,1
126,Tuesday,02/03/2021,13:58:46,23,1001,2973,988,1,1
127,Tuesday,02/03/2021,13:58:51,23,995,2971,998,1,1
128,Tuesday,02/03/2021,13:58:56,23,996,2973,1045,1,1
129,Tuesday,02/03/2021,13:59:01,23,1000,2975,1008,1,1
130,Tuesday,02/03/2021,13:59:06,23,1029,2777,1000,1,1
131,Tuesday,02/03/2021,13:59:12,23,995,2955,1010,1,1
132,Tuesday,02/03/2021,13:59:17,24,1015,2963,1052,1,1
133,Tuesday,02/03/2021,13:59:22,24,888,2983,80,1,1
152,Tuesday,02/03/2021,14:00:58,24,972,2992,620,1,2
153,Tuesday,02/03/2021,14:01:03,25,978,2992,613,1,2
154,Tuesday,02/03/2021,14:01:08,24,1050,3013,612,1,2
155,Tuesday,02/03/2021,14:01:13,25,1104,2863,602,1,2
156,Tuesday,02/03/2021,14:01:18,24,1076,3011,611,1,2
157,Tuesday,02/03/2021,14:01:23,25,1068,2995,608,1,2
158,Tuesday,02/03/2021,14:01:28,25,1072,2993,610,1,2
159,Tuesday,02/03/2021,14:01:33,25,1104,2831,592,1,2
160,Tuesday,02/03/2021,14:01:38,24,1072,3007,612,1,2
161,Tuesday,02/03/2021,14:01:43,24,1078,3015,619,1,2
162,Tuesday,02/03/2021,14:01:48,25,1072,2995,609,1,2
163,Tuesday,02/03/2021,14:01:53,25,1077,3007,624,1,2
164,Tuesday,02/03/2021,14:01:58,25,1077,3015,622,1,2
165,Tuesday,02/03/2021,14:02:03,25,1072,3015,626,1,2
166,Tuesday,02/03/2021,14:02:08,24,1083,3021,722,1,2
167,Tuesday,02/03/2021,14:02:13,25,1081,3009,699,1,2
168,Tuesday,02/03/2021,14:02:19,24,1095,3007,753,1,2
169,Tuesday,02/03/2021,14:02:24,25,1080,3011,756,1,2
170,Tuesday,02/03/2021,14:02:29,25,1066,3013,757,1,2
171,Tuesday,02/03/2021,14:02:34,25,1072,3019,768,1,2
172,Tuesday,02/03/2021,14:02:39,25,1072,3015,762,1,2
173,Tuesday,02/03/2021,14:02:44,25,1098,3007,753,1,2
174,Tuesday,02/03/2021,14:02:49,25,1072,3005,772,1,2
175,Tuesday,02/03/2021,14:02:54,25,1094,3007,752,1,2
176,Tuesday,02/03/2021,14:02:59,25,1104,3013,832,1,2
177,Tuesday,02/03/2021,14:03:04,25,971,2999,1028,1,2
178,Tuesday,02/03/2021,14:03:09,20,1486,2995,208,1,2
195,Tuesday,02/03/2021,14:04:35,35,880,2967,288,1,3
196,Tuesday,02/03/2021,14:04:40,28,870,2895,278,1,3
197,Tuesday,02/03/2021,14:04:45,48,834,2997,296,1,3
198,Tuesday,02/03/2021,14:04:50,36,834,2971,281,1,3
199,Tuesday,02/03/2021,14:04:55,31,832,2963,288,1,3
200,Tuesday,02/03/2021,14:05:00,48,842,3003,309,1,3
201,Tuesday,02/03/2021,14:05:05,35,857,2782,292,1,3
202,Tuesday,02/03/2021,14:05:11,30,869,2783,608,1,3
203,Tuesday,02/03/2021,14:05:16,43,866,2791,768,1,3
204,Tuesday,02/03/2021,14:05:21,40,838,2961,793,1,3
205,Tuesday,02/03/2021,14:05:26,48,836,2995,821,1,3
206,Tuesday,02/03/2021,14:05:31,30,834,2967,801,1,3
207,Tuesday,02/03/2021,14:05:36,42,828,2963,784,1,3
208,Tuesday,02/03/2021,14:05:41,36,868,2797,770,1,3
